praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
-0.40876949898536374,-0.3155054602222644,-0.2832110451124621,-0.5373254316463193,-0.43865414682999243,-0.04416106654464066,-0.03284881939772596,-0.22557325765029404,0.07680371277103176,-0.06222975150292929,-0.21859490141101504
-0.2816285230092759,-0.32930952874421765,-0.33378236357450836,-0.5373613941510492,-0.5355477701130045,-0.2671075177401985,-0.22749450769052484,-0.3670436308308505,-0.23386350876856452,-0.18961808284200216,0.05650025843651821
-0.13734942174487527,-0.314984551976153,-0.3342912573451956,0.07759743673024606,-0.4305973466445341,0.280124680648898,-0.3015760756228587,-0.3384316452437717,-0.15127345181334195,-0.22184429761527952,-0.26534309850928867
-0.3573551231204254,-0.3402486019125579,-0.21934487689121118,-0.28778161132554103,-0.3845887771644168,-0.6863144055185123,-0.44102373290725194,-0.8373928827873298,-0.15127345181334195,-0.24023219663297307,-0.2042108407653924
-0.242968100847268,-0.32279817566782465,-0.3132993893043462,-0.5373613941510492,-0.21433586798223153,-0.6825986313319197,-0.4584546900678011,0.21791251894942795,-0.051803675188438904,-0.17312584351685434,-0.29141420842947974
0.2117900608728455,-0.18632021518662667,-0.270234253959937,0.20346620328489715,0.3750826719012989,-0.7488069713839339,-0.5370392552666102,-0.7739696480693051,-0.1894537701138098,-0.23227042592428102,-0.17229620620791714
-0.36014505049294143,-0.3839267583490024,-0.22443381459808381,-0.04827132982440502,0.1609414038141171,-0.331289071872253,-0.4279505150368401,-0.4147302734759819,-0.27234525063456233,0.02876191373926562,-0.3294870189508622
-0.4378644558701738,-0.37168541456538345,-0.22761440066487917,-0.30324548835939824,0.3666018296008165,-0.42587241480370175,-0.47588564722835025,-0.4957975659727053,-0.3070089606705134,-0.2669420417009424,-0.33182442880577584
1.6585666840490174,1.9728444649453025,0.45430325205604655,0.24662120896077752,-0.5455127598160714,-0.21981584627447404,0.2090057112048935,-0.9790857936335635,0.16823552764846783,0.2372844799192956,0.49970912707976617
-0.4422486274555561,-0.3402486019125579,-0.22761440066487917,-0.4442185069006074,-0.2991442909870561,-0.23670572894080416,-0.34152201911578384,0.5485399079556723,-0.24371001190921143,-0.22506691909260726,-0.19656930854740537
